Date,IR,Inflation,GDP,RF,Mortality
28/2/01,-0.0428642,0.140848767,0.008076666,0.001808007,0.010203429
31/3/01,-0.046453298,0.23337949,0.007940521,0.001834229,0.036410634
30/4/01,-0.001550667,0.007879626,0.00658779,0.001859605,0.021476193
31/5/01,0,-0.107637711,0.005146462,0.001885827,0.00249604
30/6/01,-0.047163825,0.200557936,0.003751628,0.001911203,-0.044560591
31/7/01,-0.051212548,-0.197676249,0.003937729,0.001937425,-0.030494524
31/8/01,-0.05397774,-0.065485411,0.004178077,0.001963647,-0.032895251
30/9/01,-0.115659175,-0.280113491,0.004410672,0.001989023,-0.040392153
31/10/01,-0.003799453,0.13989801,0.004624768,0.002015244,0.066019387
30/11/01,0,0.248075637,0.004831111,0.00204062,0.012113237
31/12/01,0,-0.047207677,0.005044331,0.002066842,0.004221171
31/1/02,0,-0.00184382,0.005901577,-0.002282918,0.056739044
28/2/02,0,-0.058459457,0.006695253,-0.006343484,0.00026112
31/3/02,0,-0.280357639,0.007573967,-0.01083911,-6.12E-05
30/4/02,0,-0.0937004,0.007905592,-0.015189716,-0.031696829
31/5/02,0,0.230575817,0.008229787,-0.019685343,-0.035830648
30/6/02,0,-0.063598971,0.008543524,-0.024035949,-0.072533215
31/7/02,0,-0.079851265,0.007921975,-0.028531575,-0.054585975
31/8/02,0,0.213363349,0.0072689,-0.033027201,0.011577577
30/9/02,0,0.069825355,0.006636893,-0.037377808,0.00485267
31/10/02,0,0.060750877,0.007496964,-0.041873434,-0.008671127
30/11/02,0,-0.185663327,0.008378103,-0.04622404,-0.04558913
31/12/02,-0.062456633,0.122960831,0.009288612,-0.050719667,-0.066291337
31/1/03,-0.002081888,0.004307464,0.009629126,-0.047573549,0.007715665
28/2/03,0,-0.062233574,0.009919526,-0.04450182,0.03403369
31/3/03,0,-0.140566575,0.010241039,-0.041100977,-0.060066106
30/4/03,0,-0.082144646,0.009663895,-0.037809838,-0.038104806
31/5/03,-0.066767295,0.074878662,0.009035861,-0.034408996,0.054841585
30/6/03,-0.002299762,0.074305797,0.008428086,-0.031117857,0.09608421
31/7/03,0,-0.069326813,0.007434548,-0.027717015,0.029717772
31/8/03,0,-0.00239058,0.006428826,-0.024316172,0.058140304
30/9/03,0.066693109,0,0.005455547,-0.021025033,0.038302052
31/10/03,0.002225576,0,0.004819499,-0.017624191,-0.039284858
30/11/03,0,0.138330816,0.004215894,-0.014333052,-0.02016572
31/12/03,0.062456633,-0.062151139,0.003592168,-0.01093221,0.00358119
31/1/04,0.002081888,-0.151403654,0.002940777,-0.012019009,-0.014667017
29/2/04,0,-0.089326525,0.002330547,-0.013175629,0.057255614
31/3/04,0.058668989,0.230575817,0.001678234,-0.014412016,0.043200922
30/4/04,0.057273954,0.074731844,0.002175868,-0.01560852,0.027959149
31/5/04,0.00184382,-0.064541718,0.002730316,-0.016844907,-0.018016239
30/6/04,0.052264981,-0.002299762,0.003266878,-0.018041411,-0.02185497
31/7/04,0.001744104,-0.149178077,0.004942674,-0.019277798,-0.022411166
31/8/04,0,0.072488082,0.006655848,-0.020514185,-0.037323098
30/9/04,0,0.140998906,0.008313759,-0.021710689,-0.013760829
31/10/04,0,0.181056372,0.009669159,-0.022947076,-0.030261763
30/11/04,0,-0.049175748,0.010969296,-0.024143579,0.001132168
31/12/04,0,-0.00184382,0.01231277,-0.025379967,0.02775416
31/1/05,0,0.157276383,0.012012709,-0.023639541,0.037989724
28/2/05,0,-0.043657144,0.011692203,-0.021977919,-0.039759211
31/3/05,0,-0.001654622,0.011337357,-0.020138266,-0.051125464
30/4/05,0,0.049583518,0.012461244,-0.018357957,-0.03785488
31/5/05,0,0.136908115,0.013674877,-0.016518305,-0.008143297
30/6/05,-0.052264981,0.045799692,0.014849361,-0.014737996,0.015853376
31/7/05,-0.001744104,0.040878047,0.011333197,-0.012898343,-0.020225833
31/8/05,0,-0.038188317,0.007659373,-0.01105869,0.031416033
30/9/05,0,-0.085471731,0.004104059,-0.009278381,0.012307308
31/10/05,0,-0.047826189,0.003505119,-0.007438728,-0.013098469
30/11/05,0,0.043418681,0.00302469,-0.005658419,-0.018703579
31/12/05,0,0.001500646,0.002528247,-0.003818767,0.013118405
31/1/06,0,-0.092235658,0.002017305,-0.003410974,0.031749873
28/2/06,0,0.08850231,0.001555373,-0.003085756,0.031358646
31/3/06,0,0.08727908,0.001043948,-0.002725693,0.04068607
30/4/06,0,0.080274997,0.002351418,-0.002377244,0.003408142
31/5/06,0,-0.035373506,0.003766694,-0.002017181,-0.001975679
30/6/06,0.052264981,0.036605999,0.005136316,-0.001668732,0.010094435
31/7/06,0.001744104,-0.036690345,0.006521595,-0.001308669,-0.005753629
31/8/06,0,-0.001265184,0.007905874,-0.000948605,0.019958925
30/9/06,0.049583518,0.109551062,0.009245499,-0.000600157,-0.001300715
31/10/06,0.001654622,0.037615106,0.008276101,-0.000240094,0.015798397
30/11/06,0.047163825,-0.067907288,0.007262048,0.000108355,0.057762369
31/12/06,0.001573876,-0.002305128,0.006214194,0.000468418,0.009296697
31/1/07,0,0.069153836,0.006697897,-0.003035599,-0.020206314
28/2/07,0,-0.066354752,0.007180901,-0.006316856,0.021456221
31/3/07,0.04501937,-0.076783555,0.007715656,-0.009949676,0.026115986
30/4/07,0.001550667,-0.002565368,0.006766268,-0.013465308,0.047952693
31/5/07,0.043017835,-0.215945372,0.005732966,-0.017098128,-0.006985535
30/6/07,0.001481725,-0.007438118,0.004732996,-0.02061376,-0.053227657
31/7/07,0,0,0.004931421,-0.02424658,-0.046353562
31/8/07,0,0.135253493,0.005170904,-0.0278794,-0.014887429
30/9/07,0,-0.038311306,0.005402662,-0.031395032,-0.062078888
31/10/07,-0.043017835,0.041583907,0.001832138,-0.035027852,-0.020727036
30/11/07,-0.001481725,0.042622686,-0.001746111,-0.038543485,-0.063309364
31/12/07,-0.04501937,0.078833576,-0.005443635,-0.042176305,-0.006571494
31/1/08,-0.001500646,0.002582023,-0.008924763,-0.039181408,-0.067558377
29/2/08,-0.047107745,0.138166332,-0.012174555,-0.03617306,0.051316629
31/3/08,-0.001573876,0.096851814,-0.01564847,-0.03295724,0.09299483
30/4/08,0,0.113773679,-0.0173888,-0.029845156,0.112618469
31/5/08,0,0.126353597,-0.019129363,-0.026629336,-0.053513435
30/6/08,0,0.049194405,-0.020813779,-0.023517252,-0.075267333
31/7/08,0,0.085705204,-0.019812478,-0.020301432,-0.039131797
31/8/08,-0.101961789,-0.12641711,-0.018719782,-0.017085611,-0.076669513
30/9/08,-0.395461622,-0.10119839,-0.017662335,-0.013973527,-0.202403701
31/10/08,-0.405465108,-0.231991832,-0.012673786,-0.010757707,-0.16514858
30/11/08,-0.291608174,-0.040651126,-0.007720485,-0.007645623,-0.008905021
31/12/08,-0.401665655,0.063446441,-0.002602074,-0.004429803,-0.049753674
31/1/09,-0.683867114,-0.096348047,-0.001387959,-0.006048236,-0.138182298
28/2/09,-0.375944234,-0.193320023,-0.000408888,-0.007655595,0.152510679
31/3/09,-0.011748257,-0.094382698,0.000675084,-0.00943517,0.022898308
30/4/09,0,-0.20729785,0.001438546,-0.01115734,0.100009748
31/5/09,0,-0.065485411,0.002217283,-0.012936915,0.012727959
30/6/09,0,-0.131101167,0.002970899,-0.014659084,-0.077570319
31/7/09,0,-0.329925758,0.004090087,-0.01643866,-0.080060055
31/8/09,0,0.165586273,0.005220625,-0.018218235,-0.043768746
30/9/09,0,0.221782818,0.006314693,-0.019940404,0.021238633
31/10/09,0,0.332816473,0.00753143,-0.02171998,-0.025759053
30/11/09,0,0.217670705,0.008711699,-0.023442149,0.174051366
31/12/09,0,-0.199795126,0.00993131,-0.025221725,-0.026748339
31/1/10,0,0.122334441,0.008850522,-0.021282693,-0.045159156
28/2/10,0,0.118345477,0.007805067,-0.017552685,-0.015551446
31/3/10,0,-0.070678974,0.006647599,-0.013423033,-0.132206642
30/4/10,0,-0.042026629,0.004705434,-0.009426595,-0.093052693
31/5/10,0,-0.042503562,0.00266924,-0.005296944,-0.052825055
30/6/10,0,0.039722307,0.00069873,-0.001300506,-0.136124135
31/7/10,0,0.001372891,0.002472836,0.002829146,-0.059485332
31/8/10,0,0.039505156,0.004373953,0.006958798,-0.090679353
30/9/10,0,0.039274089,0.006213743,0.010955235,0.113546803
31/10/10,0,0.171481958,0.004553023,0.015084887,0.156206232
30/11/10,0,0.095157232,0.002830978,0.019081324,0.234002503
31/12/10,0,0.084809515,0.00105153,0.023210976,0.079086197
31/1/11,0,-0.051049618,0.00169489,0.021976662,-0.087789758
28/2/11,0,0.077316386,0.002348933,0.020700303,0.000431645
31/3/11,0,0.002652842,0.003073053,0.01928719,-0.137200992
30/4/11,0,-0.052264981,0.002701513,0.017919662,-0.114801526
31/5/11,0,0.050579013,0.002279379,0.016506549,-0.084787971
30/6/11,0,0.026911878,0.001870863,0.015139021,-0.296864951
31/7/11,0,0.139322606,0.003343457,0.013725909,-0.107800754
31/8/11,0,-0.03937969,0.004879208,0.012312796,0.215846857
30/9/11,0,-0.04755586,0.00636542,0.010945268,-0.172495245
31/10/11,0,-0.100879118,0.004065883,0.009532155,-0.153916999
30/11/11,0,-0.143764415,0.001716806,0.008164627,-0.041235921
31/12/11,0,-0.035407837,-0.000710574,0.006751515,-0.019817045
31/1/12,0,-0.001024152,0.00345426,0.004655916,0.054172112
29/2/12,0,-0.098272946,0.007555959,0.002674235,-0.062133898
31/3/12,0,-0.112956234,0.011940534,0.000555887,-0.167262599
30/4/12,0,-0.084379845,0.007741279,-0.001494127,-0.177445989
31/5/12,0,0.038496994,0.003101227,-0.003612475,-0.231810539
30/6/12,0,-0.039722307,-0.001389145,-0.00566249,-0.042314642
31/7/12,0,-0.089410096,0.001058108,-0.007780838,0.298997734
31/8/12,0,0.126289355,0.003741605,-0.009899186,0.035473361
30/9/12,0,0.004451046,0.006338537,-0.011949201,0.025664927
31/10/12,0,0,0.006073068,-0.014067549,0.060216478
30/11/12,0,0,0.005721034,-0.016117563,0.151057955
31/12/12,0,0.039505156,0.005357266,-0.018235911,-0.06674479
31/1/13,0,0.001316839,0.006701358,-0.012902842,-0.139240568
28/2/13,0,-0.123267894,0.007966796,-0.007861532,-0.163921534
31/3/13,0,0.080080901,0.009367816,-0.002280082,0.178320672
30/4/13,0,0.080274997,0.008100691,0.003121322,0.456176359
31/5/13,0,-0.035373506,0.006697866,0.008702772,0.022484666
30/6/13,0,-0.040768618,0.005340293,0.014104176,0.145011275
31/7/13,0,-0.001316839,0.005710139,0.019685626,0.102295634
31/8/13,0,-0.176440216,0.006139074,0.025267076,-0.087828541
30/9/13,0,-0.055660903,0.006554172,0.03066848,-0.00313711
31/10/13,0,-0.001654622,0.006557451,0.03624993,0.108307661
30/11/13,0,-0.052264981,0.006546895,0.041651334,0.020640649
31/12/13,0,-0.115727687,0.006535986,0.047232784,-0.057056408
31/1/14,0,-0.066256086,0.006271424,0.042075758,0.161569621
28/2/14,0,0.118388084,0.006024827,0.037094489,-0.004011163
31/3/14,0,-0.117088101,0.00575181,0.031579514,0.00471747
30/4/14,0,0.172072067,0.005690274,0.02624244,0.049253979
31/5/14,0,-0.108102242,0.005633908,0.020727465,0.001637817
30/6/14,0,-0.066313338,0.00557936,0.015390392,-0.090220875
31/7/14,0,-0.140566575,0.00547198,0.009875416,-0.029671951
31/8/14,0,-0.004616156,0.005362898,0.00436044,-0.152773758
30/9/14,0,-0.161485615,0.005257336,-0.000976633,-0.070571778
31/10/14,0,-0.4427938,0.005857714,-0.006491608,-0.124660484
30/11/14,0,-0.340322666,0.006461611,-0.011828682,-0.084154083
31/12/14,0,-0.226799315,0.007085637,-0.017343657,0.08500694
31/1/15,0,-0.285600185,0.006167421,-0.015210575,0.018043756
28/2/15,0,-0.01027436,0.005291632,-0.013053657,-0.045369
31/3/15,0,0.278402006,0.004322008,-0.01066564,0.151007751
30/4/15,0,-0.268503268,0.00529643,-0.008354655,0.051138617
31/5/15,0,0.485067311,0.006371488,-0.005966638,0.007918937
30/6/15,0,-0.198677912,0.007411868,-0.003655654,-0.079276805
31/7/15,0,-0.677985773,0.005560314,-0.001267637,-0.089374286
31/8/15,0,-0.022359586,0.003611208,0.00112038,-0.081612301
30/9/15,0,0.670042275,0.001724975,0.003431365,0.090909977
31/10/15,0,0.238304959,0.00284622,0.005819382,-0.034831341
30/11/15,0,0.18368229,0.00403034,0.008130366,-0.040768618
31/12/15,0,0.005881341,0.00525393,0.010518383,-0.32371469
31/1/16,0,0.278402006,0.005031039,0.010422051,0.011501326
29/2/16,0,-0.11900679,0.004777423,0.010254465,-0.010241861
31/3/16,0,-0.004307464,0.004506316,0.010075321,-0.01155656
30/4/16,0,0.129080346,0.005127779,0.009901956,-0.213284793
31/5/16,0,0.118291047,0.005801451,0.009722812,-0.636705412
30/6/16,-0.670042275,0.1057746,0.00645339,0.009549447,-0.542716203
31/7/16,-0.022359586,0.257299627,0.006237986,0.009370304,0.111836944
31/8/16,0,0.008463363,0.005992946,0.00919116,0.568642579
30/9/16,0,0.138330816,0.00575581,0.009017795,0.357456166
31/10/16,0,0.181056372,0.004692316,0.008838651,-0.054354972
30/11/16,0,0.058342366,0.003636726,0.008665286,0.014551265
31/12/16,0,0.186636269,0.00254595,0.008486142,-0.223763119
31/1/17,0,0.006163072,0.002806781,0.008480364,-0.271954892
28/2/17,0,0.118223668,0.003083065,0.008480364,0.353271467
31/3/17,0,0.040477812,0.003388949,0.008480364,0.012144438
30/4/17,0,-0.035224306,0.00358541,0.008480364,-0.038671823
31/5/17,0,-0.00121743,0.003784872,0.008480364,0.241917017
30/6/17,0,0.036482317,0.0039779,0.008480364,-0.234560133
31/7/17,0,0.036411924,0.002879025,0.008480364,0.235100594
31/8/17,0,0.00117315,0.001736872,0.008480364,0.21479153
30/9/17,0.670042275,0,0.000631562,0.008480364,-0.030794219
31/10/17,0.022359586,-0.035194494,0.002113711,0.008480364,-0.027421964
30/11/17,0,-0.001212255,0.003632702,0.008480364,0.157523971
31/12/17,0,-0.074478427,0.005202327,0.008480364,0.198460628
31/1/18,0,-0.083174494,0.005453407,,0.102855106
28/2/18,0,-0.045842114,0.00564049,,0.01183539
31/3/18,0,0.041583907,0.005847618,,-0.050668654
30/4/18,0,0.001481725,0.004670236,,-0.064722783
31/5/18,0,0,0.003404513,,-0.020892964
30/6/18,0.391949605,0.041140961,0.00217962,,0.0087837
31/7/18,0.01307952,-0.082831668,0.003525373,,0.081382344
31/8/18,0,-0.002806819,0.004958176,,0.011304461
30/9/18,0,0,0.006344759,,-0.117847413
31/10/18,0,-0.092235658,0.003953457,,-0.127652219
30/11/18,0,-0.105025504,0.001515935,,0.038708925
31/12/18,0,-0.003398726,-0.001002837,,-0.075150576
31/1/19,0,0,0.000917842,,0.031013852
28/2/19,0,0.10159764,0.002786311,,-0.009781758
31/3/19,0,-0.046239946,0.004854972,,-0.081544297
30/4/19,0,-0.001709776,0.003429339,,-0.264910394
31/5/19,0,0.049638672,0.001834052,,-0.16322765
30/6/19,0,-0.155391855,0.000290227,,-0.38802014
31/7/19,0,-0.005242546,0.000238766,,0.116453101
31/8/19,0,-0.121125622,0.000238766,,0.004307464
30/9/19,0,-0.004172105,0.000238766,,0.234847973
31/10/19,0,-0.066767295,,,0.132305404
30/11/19,0,-0.068992871,,,0.128617378
31/12/19,0,,,,
31/1/20,,,,,